image,label
image_0.png,frog
image_1.png,truck
image_2.png,truck
image_3.png,deer
image_4.png,automobile
image_5.png,automobile
image_6.png,bird
image_7.png,horse
image_8.png,ship
image_9.png,cat
image_10.png,deer
image_11.png,horse
image_12.png,horse
image_13.png,bird
image_14.png,truck
image_15.png,truck
image_16.png,truck
image_17.png,cat
image_18.png,bird
image_19.png,frog
image_20.png,deer
image_21.png,cat
image_22.png,frog
image_23.png,frog
image_24.png,bird
image_25.png,frog
image_26.png,cat
image_27.png,dog
image_28.png,deer
image_29.png,airplane
image_30.png,airplane
image_31.png,truck
image_32.png,automobile
image_33.png,cat
image_34.png,deer
image_35.png,airplane
image_36.png,cat
image_37.png,horse
image_38.png,cat
image_39.png,cat
image_40.png,dog
image_41.png,bird
image_42.png,bird
image_43.png,horse
image_44.png,automobile
image_45.png,automobile
image_46.png,automobile
image_47.png,bird
image_48.png,bird
image_49.png,airplane
image_50.png,truck
image_51.png,dog
image_52.png,horse
image_53.png,truck
image_54.png,bird
image_55.png,bird
image_56.png,dog
image_57.png,bird
image_58.png,deer
image_59.png,cat
image_60.png,automobile
image_61.png,automobile
image_62.png,ship
image_63.png,bird
image_64.png,automobile
image_65.png,automobile
image_66.png,deer
image_67.png,truck
image_68.png,horse
image_69.png,ship
image_70.png,dog
image_71.png,truck
image_72.png,frog
image_73.png,horse
image_74.png,cat
image_75.png,automobile
image_76.png,truck
image_77.png,airplane
image_78.png,cat
image_79.png,automobile
image_80.png,cat
image_81.png,dog
image_82.png,deer
image_83.png,dog
image_84.png,horse
image_85.png,horse
image_86.png,deer
image_87.png,horse
image_88.png,truck
image_89.png,deer
image_90.png,bird
image_91.png,cat
image_92.png,ship
image_93.png,airplane
image_94.png,automobile
image_95.png,frog
image_96.png,automobile
image_97.png,automobile
image_98.png,deer
image_99.png,automobile
image_100.png,ship
image_101.png,cat
image_102.png,truck
image_103.png,frog
image_104.png,frog
image_105.png,automobile
image_106.png,ship
image_107.png,dog
image_108.png,bird
image_109.png,truck
image_110.png,truck
image_111.png,ship
image_112.png,automobile
image_113.png,horse
image_114.png,horse
image_115.png,airplane
image_116.png,airplane
image_117.png,frog
image_118.png,truck
image_119.png,automobile
image_120.png,bird
image_121.png,bird
image_122.png,truck
image_123.png,bird
image_124.png,frog
image_125.png,frog
image_126.png,automobile
image_127.png,truck
image_128.png,dog
image_129.png,airplane
image_130.png,deer
image_131.png,horse
image_132.png,frog
image_133.png,horse
image_134.png,automobile
image_135.png,ship
image_136.png,automobile
image_137.png,automobile
image_138.png,bird
image_139.png,ship
image_140.png,automobile
image_141.png,cat
image_142.png,cat
image_143.png,frog
image_144.png,bird
image_145.png,deer
image_146.png,truck
image_147.png,truck
image_148.png,dog
image_149.png,deer
image_150.png,cat
image_151.png,frog
image_152.png,horse
image_153.png,deer
image_154.png,frog
image_155.png,ship
image_156.png,dog
image_157.png,dog
image_158.png,deer
image_159.png,cat
image_160.png,automobile
image_161.png,ship
image_162.png,deer
image_163.png,horse
image_164.png,frog
image_165.png,airplane
image_166.png,truck
image_167.png,dog
image_168.png,automobile
image_169.png,cat
image_170.png,ship
image_171.png,bird
image_172.png,horse
image_173.png,dog
image_174.png,cat
image_175.png,deer
image_176.png,automobile
image_177.png,dog
image_178.png,horse
image_179.png,airplane
image_180.png,deer
image_181.png,horse
image_182.png,dog
image_183.png,dog
image_184.png,automobile
image_185.png,airplane
image_186.png,truck
image_187.png,frog
image_188.png,truck
image_189.png,airplane
image_190.png,ship
image_191.png,horse
image_192.png,ship
image_193.png,ship
image_194.png,bird
image_195.png,dog
image_196.png,bird
image_197.png,cat
image_198.png,dog
image_199.png,airplane
image_200.png,frog
image_201.png,automobile
image_202.png,truck
image_203.png,cat
image_204.png,frog
image_205.png,truck
image_206.png,automobile
image_207.png,cat
image_208.png,truck
image_209.png,frog
image_210.png,frog
image_211.png,horse
image_212.png,automobile
image_213.png,airplane
image_214.png,truck
image_215.png,dog
image_216.png,ship
image_217.png,dog
image_218.png,bird
image_219.png,truck
image_220.png,airplane
image_221.png,ship
image_222.png,ship
image_223.png,airplane
image_224.png,frog
image_225.png,truck
image_226.png,automobile
image_227.png,automobile
image_228.png,frog
image_229.png,cat
image_230.png,horse
image_231.png,frog
image_232.png,frog
image_233.png,airplane
image_234.png,frog
image_235.png,frog
image_236.png,automobile
image_237.png,horse
image_238.png,automobile
image_239.png,dog
image_240.png,ship
image_241.png,cat
image_242.png,frog
image_243.png,frog
image_244.png,ship
image_245.png,frog
image_246.png,ship
image_247.png,deer
image_248.png,frog
image_249.png,frog
image_250.png,automobile
image_251.png,cat
image_252.png,ship
image_253.png,cat
image_254.png,deer
image_255.png,automobile
image_256.png,horse
image_257.png,automobile
image_258.png,cat
image_259.png,ship
image_260.png,dog
image_261.png,automobile
image_262.png,automobile
image_263.png,deer
image_264.png,airplane
image_265.png,truck
image_266.png,cat
image_267.png,horse
image_268.png,deer
image_269.png,truck
image_270.png,truck
